company_name,scrap_time
SpaceX,2024-12-29 19:18:47.826259+00
Lenovo,2024-12-29 19:18:54.985987+00
GeoComply,2024-12-29 19:19:02.156701+00
Amazon Kuiper Manufacturing Enterprises LLC,2024-12-29 19:19:09.588685+00
Blue Origin,2024-12-29 19:19:16.759643+00
SpaceX,2024-12-29 19:19:23.921678+00
Google,2024-12-29 19:19:31.076986+00
Accenture,2024-12-29 19:19:38.204967+00
Accenture,2024-12-29 19:19:46.003742+00
Accenture,2024-12-29 19:19:53.131626+00
Amazon.com Services LLC,2024-12-29 19:20:00.287288+00
DocuSign,2024-12-29 19:20:07.455859+00
Northrop Grumman,2024-12-29 19:20:14.62664+00
Amazon.com Services LLC,2024-12-29 19:20:23.637126+00
Amazon.com Services LLC,2024-12-29 19:20:30.768924+00
AGC Biologics,2024-12-29 19:20:37.912192+00
Google,2024-12-29 19:20:45.039169+00
Amazon.com Services LLC,2024-12-29 19:20:52.203098+00
TRIGO,2024-12-29 19:21:01.412071+00
Amazon.com Services LLC,2024-12-29 19:21:08.559146+00
"Amazon Development Center U.S., Inc.",2024-12-29 19:21:15.694499+00
3MD Inc.,2024-12-29 19:21:22.843248+00
Impinj,2024-12-29 19:21:30.020731+00
Amazon.com Services LLC,2024-12-29 19:21:37.1699+00
Hensel Phelps Construction Co,2024-12-29 19:21:44.306844+00
Microsoft,2024-12-29 19:21:51.505836+00
"Amazon Data Services, Inc.",2024-12-29 19:21:59.102663+00
Amazon.com Services LLC,2024-12-29 19:22:06.245017+00
Amazon.com Services LLC,2024-12-29 19:22:13.388706+00
Amazon.com Services LLC,2024-12-29 19:22:20.526065+00
Fujifilm,2024-12-29 19:22:27.67815+00
"Amazon Data Services, Inc.",2024-12-29 19:22:37.489387+00
Sibylline Americas,2024-12-29 19:22:44.636119+00
University of Washington,2024-12-29 19:22:51.794018+00
ATT Metrology Services,2024-12-29 19:22:58.949049+00
Amazon.com Services LLC,2024-12-29 19:23:06.113771+00
Amazon.com Services LLC,2024-12-29 19:23:13.248727+00
"Amazon Web Services, Inc.",2024-12-29 19:23:20.416226+00
"Amazon Development Center U.S., Inc.",2024-12-29 19:23:27.553041+00
Amazon.com LLC,2024-12-29 19:23:36.096365+00
Impinj,2024-12-29 19:23:43.226812+00
Amazon.com Services LLC,2024-12-29 19:23:50.369099+00
MilliporeSigma,2024-12-29 19:23:57.519833+00
Amazon.com Services LLC,2024-12-29 19:24:04.680548+00
Lucid Motors,2024-12-29 19:24:11.834378+00
Astreya Partners,2024-12-29 19:24:18.97047+00
Anduril Industries,2024-12-29 19:24:26.089469+00
Amazon Kuiper Manufacturing Enterprises LLC,2024-12-29 19:24:35.57543+00
Accenture,2024-12-29 19:24:42.715783+00
Meteorcomm,2024-12-29 19:24:49.861584+00
Simplexity Product Development,2024-12-29 19:24:57.011276+00
Schneider Electric,2024-12-29 19:25:04.14929+00
FIS Global,2024-12-29 19:25:11.292737+00
iLink Digital,2024-12-29 19:25:18.444884+00
Amazon Kuiper Manufacturing Enterprises LLC - M90,2024-12-29 19:25:25.582618+00
University of Washington,2024-12-29 19:25:32.718505+00
FIS Global,2024-12-29 19:25:39.864544+00
Oculus,2024-12-29 19:25:47.011116+00
Microsoft,2024-12-29 19:25:56.645537+00
Apple,2024-12-29 19:27:59.619068+00
Apple,2024-12-29 19:28:06.782042+00
Apple,2024-12-29 19:28:13.909353+00
Motorola Solutions,2024-12-29 19:28:21.063257+00
Apple,2024-12-29 19:28:28.199428+00
Cirrus Logic,2024-12-29 19:28:35.339132+00
Cirrus Logic,2024-12-29 19:28:42.480578+00
Arm,2024-12-29 19:28:49.630478+00
Arm,2024-12-29 19:28:56.774288+00
Arm,2024-12-29 19:29:03.915723+00
Arm,2024-12-29 19:29:11.049791+00
"Advanced Micro Devices, Inc",2024-12-29 19:29:18.207704+00
Cirrus Logic,2024-12-29 19:29:25.386636+00
"Advanced Micro Devices, Inc",2024-12-29 19:29:32.523415+00
"Advanced Micro Devices, Inc",2024-12-29 19:29:39.679595+00
Apple,2024-12-29 19:29:46.827323+00
"Advanced Micro Devices, Inc",2024-12-29 19:29:53.982127+00
Arm,2024-12-29 19:30:01.124686+00
"Ambiq Micro, Inc",2024-12-29 19:30:08.268305+00
Arm,2024-12-29 19:30:15.42783+00
CoreAVI,2024-12-29 19:30:22.565912+00
"Ambiq Micro, Inc",2024-12-29 19:30:29.721218+00
"Advanced Micro Devices, Inc",2024-12-29 19:30:36.857338+00
"Advanced Micro Devices, Inc",2024-12-29 19:30:44.006384+00
Apple,2024-12-29 19:30:51.141365+00
Smith & Nephew,2024-12-29 19:30:58.308878+00
"Advanced Micro Devices, Inc",2024-12-29 19:31:05.448845+00
Apple,2024-12-29 19:31:12.610565+00
Silicon Labs Careers,2024-12-29 19:31:19.759783+00
Arm,2024-12-29 19:31:26.90993+00
Apple,2024-12-29 19:31:34.084355+00
"Ambiq Micro, Inc",2024-12-29 19:31:41.217704+00
"Advanced Micro Devices, Inc",2024-12-29 19:31:48.343681+00
Cirrus Logic,2024-12-29 19:31:55.49747+00
Arm,2024-12-29 19:32:02.633481+00
ASSA ABLOY,2024-12-29 19:32:09.77455+00
"Advanced Micro Devices, Inc",2024-12-29 19:32:16.929924+00
Silicon Labs Careers,2024-12-29 19:32:24.075465+00
Cirrus Logic,2024-12-29 19:32:31.23787+00
Cirrus Logic,2024-12-29 19:32:38.376137+00
Apple,2024-12-29 19:32:45.528881+00
"Advanced Micro Devices, Inc",2024-12-29 19:32:52.68162+00
ASSA ABLOY,2024-12-29 19:32:59.832085+00
Amazon.com Services LLC,2024-12-29 19:33:06.976235+00
Roku,2024-12-29 19:33:14.112567+00
Visa,2024-12-29 19:33:21.249821+00
Dell,2024-12-29 19:33:28.395326+00
"Advanced Micro Devices, Inc",2024-12-29 19:33:35.552496+00
"Advanced Micro Devices, Inc",2024-12-29 19:33:42.704032+00
"Advanced Micro Devices, Inc",2024-12-29 19:33:49.83072+00
Waites Sensor Technologies Inc,2024-12-29 19:33:56.978106+00
Apple,2024-12-29 19:34:05.111188+00
Waites Sensor Technologies Inc,2024-12-29 19:34:12.271557+00
Q2ebanking,2024-12-29 19:34:19.407208+00
"Advanced Micro Devices, Inc",2024-12-29 19:34:26.74192+00
"Advanced Micro Devices, Inc",2024-12-29 19:34:33.890675+00
"Advanced Micro Devices, Inc",2024-12-29 19:34:41.027628+00
Amazon Kuiper Manufacturing Enterprises LLC,2024-12-29 19:34:48.620101+00
"Advanced Micro Devices, Inc",2024-12-29 19:34:55.767357+00
"Advanced Micro Devices, Inc",2024-12-29 19:35:02.916743+00
"Advanced Micro Devices, Inc",2024-12-29 19:35:10.99871+00
"Advanced Micro Devices, Inc",2024-12-29 19:35:18.154678+00
"Advanced Micro Devices, Inc",2024-12-29 19:35:25.302518+00
"Advanced Micro Devices, Inc",2024-12-29 19:35:33.026494+00
"Advanced Micro Devices, Inc",2024-12-29 19:35:40.178765+00
"Advanced Micro Devices, Inc",2024-12-29 19:35:47.331245+00
"Advanced Micro Devices, Inc",2024-12-29 19:35:55.930885+00
"Advanced Micro Devices, Inc",2024-12-29 19:36:03.07847+00
"Advanced Micro Devices, Inc",2024-12-29 19:36:10.232438+00
"Advanced Micro Devices, Inc",2024-12-29 19:36:18.61083+00
"Advanced Micro Devices, Inc",2024-12-29 19:36:25.776595+00
Annapurna Labs (U.S.) Inc.,2024-12-29 19:36:32.941472+00
"Advanced Micro Devices, Inc",2024-12-29 19:36:41.10103+00
"Advanced Micro Devices, Inc",2024-12-29 19:36:48.261674+00
Amazon Kuiper Manufacturing Enterprises LLC,2024-12-29 19:36:55.40112+00
Palo Alto Networks,2024-12-29 19:37:04.386015+00
"Advanced Micro Devices, Inc",2024-12-29 19:37:11.545372+00
"Advanced Micro Devices, Inc",2024-12-29 19:37:18.687385+00
"Advanced Micro Devices, Inc",2024-12-29 19:37:27.593997+00
Amazon Kuiper Manufacturing Enterprises LLC,2024-12-29 19:37:34.757313+00
"Advanced Micro Devices, Inc",2024-12-29 19:37:41.905023+00
"Advanced Micro Devices, Inc",2024-12-29 19:37:50.87697+00
Apple,2024-12-29 19:37:58.015378+00
"Advanced Micro Devices, Inc",2024-12-29 19:38:05.160387+00
"Advanced Micro Devices, Inc",2024-12-29 19:38:13.410472+00
"Advanced Micro Devices, Inc",2024-12-29 19:38:20.559304+00
"Advanced Micro Devices, Inc",2024-12-29 19:38:27.709082+00
"Advanced Micro Devices, Inc",2024-12-29 19:38:36.238894+00
"Advanced Micro Devices, Inc",2024-12-29 19:38:43.390796+00
"Advanced Micro Devices, Inc",2024-12-29 19:38:50.533036+00
"Advanced Micro Devices, Inc",2024-12-29 19:39:00.762745+00
Analog Devices,2024-12-29 19:39:07.937449+00
"Advanced Micro Devices, Inc",2024-12-29 19:39:15.087748+00
"Advanced Micro Devices, Inc",2024-12-29 19:39:24.233325+00
"Advanced Micro Devices, Inc",2024-12-29 19:39:31.413915+00
"Advanced Micro Devices, Inc",2024-12-29 19:39:38.571338+00
"Advanced Micro Devices, Inc",2024-12-29 19:39:48.188499+00
"Advanced Micro Devices, Inc",2024-12-29 19:39:55.331293+00
"Advanced Micro Devices, Inc",2024-12-29 19:40:02.473381+00
Analog Devices,2024-12-29 19:40:11.650749+00
"Advanced Micro Devices, Inc",2024-12-29 19:40:18.784677+00
"Advanced Micro Devices, Inc",2024-12-29 19:40:25.931628+00
"Advanced Micro Devices, Inc",2024-12-29 19:40:36.003996+00
Apple,2024-12-29 19:40:43.145238+00
"Advanced Micro Devices, Inc",2024-12-29 19:40:50.296703+00
PRICE WATERHOUSE COOPERS,2024-12-29 19:40:59.479523+00
"Advanced Micro Devices, Inc",2024-12-29 19:41:06.613833+00
"Advanced Micro Devices, Inc",2024-12-29 19:41:13.747895+00
Apple,2024-12-29 19:41:20.908012+00
"Advanced Micro Devices, Inc",2024-12-29 19:41:28.050882+00
Apple,2024-12-29 19:41:35.19828+00
Apple,2024-12-29 19:41:42.353593+00
Analog Devices,2024-12-29 19:41:49.501542+00
"Advanced Micro Devices, Inc",2024-12-29 19:41:56.639436+00
Apple,2024-12-29 19:42:03.790554+00
Sumeru INC,2024-12-29 19:42:12.771189+00
Laiba Technologies,2024-12-29 19:42:19.923074+00
Apple,2024-12-29 19:42:27.062833+00
Applied Research Laboratories,2024-12-29 19:42:36.439525+00
eli@rcubecreativeconsulting.com,2024-12-29 19:42:43.598014+00
eli@rcubecreativeconsulting.com,2024-12-29 19:42:50.754936+00
Cirrus Logic,2024-12-29 19:43:01.296352+00
eli@rcubecreativeconsulting.com,2024-12-29 19:43:08.46033+00
Hewlett Packard,2024-12-29 19:43:15.614328+00
Applied Research Laboratories,2024-12-29 19:43:25.683247+00
Laiba Technologies,2024-12-29 19:43:32.836+00
Tesla,2024-12-29 19:43:39.972297+00
Apple,2024-12-29 19:43:50.674188+00
Apple,2024-12-29 19:43:57.831538+00
YouLend,2024-12-29 19:44:04.978893+00
Accenture,2024-12-29 19:44:15.371309+00
Tesla,2024-12-29 19:44:22.527603+00
Accenture,2024-12-29 19:44:29.683884+00
Current Lighting Employee Co LLC,2024-12-29 19:44:40.141675+00
Oracle,2024-12-29 19:44:47.288077+00
Apple,2024-12-29 19:44:54.424354+00
Skyworks,2024-12-29 19:45:03.832456+00
Deloitte,2024-12-29 19:45:10.973186+00
Amazon.com Services LLC,2024-12-29 19:45:18.125999+00
The Boring Company,2024-12-29 19:45:25.276981+00
Skyworks,2024-12-29 19:45:32.41596+00
"Accelsius, LLC",2024-12-29 19:45:39.576059+00
University of Texas at Austin,2024-12-29 19:45:48.443615+00
University of Texas at Austin,2024-12-29 19:45:55.62763+00
uShip,2024-12-29 19:46:02.775596+00
GLOBALFOUNDRIES,2024-12-29 19:46:09.907074+00
Dell,2024-12-29 19:46:17.046165+00
Ready,2024-12-29 19:46:26.640642+00
Securitas Electronic Security Inc.,2024-12-29 19:46:33.808318+00
Skyworks,2024-12-29 19:46:40.964742+00
Liberty Mutual,2024-12-29 19:49:10.144121+00
Boston Engineering Corporation,2024-12-29 19:49:17.285385+00
DEKA Research & Development,2024-12-29 19:49:24.420434+00
LEGO,2024-12-29 19:49:31.562362+00
BAE Systems,2024-12-29 19:49:38.692859+00
French & Parrello,2024-12-29 19:49:45.830192+00
Infineon Technologies,2024-12-29 19:49:52.983685+00
Teradyne,2024-12-29 19:50:02.379001+00
HavocAI,2024-12-29 19:50:09.515829+00
SMARTHOMES,2024-12-29 19:50:16.687546+00
SMARTHOMES,2024-12-29 19:50:23.830286+00
Thermo Fisher Scientific,2024-12-29 19:50:30.994412+00
Raytheon,2024-12-29 19:50:38.150133+00
Laiba Technologies,2024-12-29 19:50:45.307682+00
"KEA Technologies, Inc.",2024-12-29 19:50:52.464518+00
Bose,2024-12-29 19:51:02.463206+00
Analogic Corporation,2024-12-29 19:51:09.642008+00
Analogic Corporation,2024-12-29 19:51:16.803981+00
Apple,2024-12-29 19:51:23.950138+00
Capgemini,2024-12-29 19:51:31.118111+00
"Light Steering Technologies, Inc.",2024-12-29 19:51:38.264676+00
The MITRE Corporation,2024-12-29 19:51:45.410448+00
Amazon.com Services LLC,2024-12-29 19:51:52.576958+00
Teradyne,2024-12-29 19:52:01.941496+00
ATI Systems,2024-12-29 19:52:09.089368+00
Anduril Industries,2024-12-29 19:52:16.232856+00
HavocAI,2024-12-29 19:52:23.377918+00
Axon,2024-12-29 19:52:30.535249+00
Commonwealth Fusion Systems,2024-12-29 19:52:37.691535+00
Globus Medical,2024-12-29 19:52:44.832821+00
MilliporeSigma,2024-12-29 19:52:51.983529+00
Schneider Electric,2024-12-29 19:52:59.136383+00
Draper,2024-12-29 19:53:06.255218+00
Fidelity Investments,2024-12-29 19:53:13.410247+00
AchieveBio,2024-12-29 19:53:23.567434+00
Medtronic,2024-12-29 19:53:30.712844+00
American Energy Storage Innovations AESI,2024-12-29 19:53:37.860604+00
Motorola Solutions,2024-12-29 19:53:45.00513+00
Mercury Systems,2024-12-29 19:53:52.160479+00
Fidelity Investments,2024-12-29 19:53:59.316694+00
Raytheon,2024-12-29 19:54:06.483356+00
Geisel Software,2024-12-29 19:54:13.604759+00
State Street,2024-12-29 19:54:20.745518+00
Synopsys,2024-12-29 19:54:27.907693+00
Johnson Controls,2024-12-29 19:54:35.039802+00
"Advanced Micro Devices, Inc",2024-12-29 19:54:42.176619+00
"Advanced Micro Devices, Inc",2024-12-29 19:54:49.320555+00
Qt Group,2024-12-29 19:54:56.469923+00
Schneider Electric,2024-12-29 19:55:03.621064+00
Synopsys,2024-12-29 19:55:10.76701+00
Motion Recruitment,2024-12-29 19:55:17.944848+00
Formlabs,2024-12-29 19:55:28.749593+00
"KEA Technologies, Inc.",2024-12-29 19:55:35.878981+00
10Beauty,2024-12-29 19:55:43.032768+00
Antenna Research Associates Inc,2024-12-29 19:55:50.189079+00
Analog Devices,2024-12-29 19:55:57.331703+00
Teradyne,2024-12-29 19:56:04.469446+00
"AstraDx, Inc.",2024-12-29 19:56:11.636211+00
"Lutron Electronics Co., Inc",2024-12-29 19:56:18.77665+00
MIT Lincoln Laboratory,2024-12-29 19:56:25.928189+00
MIT Lincoln Laboratory,2024-12-29 19:56:33.084531+00
BAE Systems,2024-12-29 19:56:40.231654+00
Goddard Technologies,2024-12-29 19:56:47.370935+00
Man Group,2024-12-29 19:56:54.51891+00
BAE Systems,2024-12-29 19:57:01.659348+00
SharkNinja,2024-12-29 19:57:12.007722+00
"Advanced Energy Industries, Inc.",2024-12-29 19:57:19.132436+00
Aurora Flight Sciences,2024-12-29 19:57:26.26943+00
Anduril Industries,2024-12-29 19:57:33.704037+00
Microchip Technology,2024-12-29 19:57:40.841642+00
Schneider Electric,2024-12-29 19:57:47.976897+00
BAE Systems,2024-12-29 19:57:55.115263+00
Schneider Electric,2024-12-29 19:58:02.252773+00
Schneider Electric,2024-12-29 19:58:09.410794+00
Symbotic,2024-12-29 19:58:16.560604+00
Smith & Nephew,2024-12-29 19:58:23.718918+00
Draper,2024-12-29 19:58:30.866977+00
"Veranex, Inc.",2024-12-29 19:58:38.012508+00
Amazon.com Services LLC,2024-12-29 19:58:45.453618+00
Glow Networks,2024-12-29 19:58:52.615471+00
BAE Systems,2024-12-29 19:58:59.743996+00
MIT Lincoln Laboratory,2024-12-29 19:59:06.899668+00
MIT Lincoln Laboratory,2024-12-29 19:59:14.552948+00
Zoll Medical Corporation,2024-12-29 19:59:21.693145+00
BAE Systems,2024-12-29 19:59:28.837792+00
"Advanced Micro Devices, Inc",2024-12-29 19:59:36.005558+00
Medtronic,2024-12-29 19:59:43.14894+00
PRICE WATERHOUSE COOPERS,2024-12-29 19:59:52.467722+00
Ambilabs,2024-12-29 19:59:59.621699+00
"Advanced Micro Devices, Inc",2024-12-29 20:00:06.87465+00
"Advanced Micro Devices, Inc",2024-12-29 20:00:14.029554+00
SHIELD AI,2024-12-29 20:00:21.180068+00
SHIELD AI,2024-12-29 20:00:29.933469+00
Teradyne,2024-12-29 20:00:37.073656+00
Amazon.com Services LLC,2024-12-29 20:00:44.249962+00
SHIELD AI,2024-12-29 20:00:51.403688+00
Motional,2024-12-29 20:00:58.554432+00
Apple,2024-12-29 20:01:07.609119+00
Violet Ink,2024-12-29 20:01:14.759823+00
Man Group,2024-12-29 20:01:21.887602+00
"General Dynamics Mission Systems, Inc",2024-12-29 20:01:29.068057+00
Olympus Corporation of the Americas,2024-12-29 20:01:36.217621+00
REEKON Tools,2024-12-29 20:01:45.881417+00
SHIELD AI,2024-12-29 20:01:53.031675+00
Schneider Electric,2024-12-29 20:02:00.189738+00
Schneider Electric,2024-12-29 20:02:07.35328+00
SHIELD AI,2024-12-29 20:02:14.51334+00
Crunchtime,2024-12-29 20:02:21.665891+00
Fidelity Investments,2024-12-29 20:02:28.806718+00
Anduril Industries,2024-12-29 20:02:35.963763+00
Answer Engineering,2024-12-29 20:02:44.734278+00
Reynolds and Reynolds,2024-12-29 20:02:51.898935+00
Boston Scientific Corporation,2024-12-29 20:02:59.038208+00
Anduril Industries,2024-12-29 20:03:06.181831+00
Anduril Industries,2024-12-29 20:03:13.328775+00
Apple,2024-12-29 20:03:20.48803+00
Mercury Systems,2024-12-29 20:03:27.619552+00
Answer Engineering,2024-12-29 20:03:34.795661+00
"Sunrise Labs, Inc.",2024-12-29 20:03:43.783926+00
Gallagher,2024-12-29 20:03:50.917702+00
inTEST Thermal Solutions,2024-12-29 20:03:58.071113+00
BAE Systems,2024-12-29 20:04:05.2042+00
MilliporeSigma,2024-12-29 20:04:12.368284+00
BAE Systems,2024-12-29 20:04:19.505269+00
Liberty Mutual,2024-12-29 20:04:26.659408+00
Bose,2024-12-29 20:04:33.810592+00
Arrowstreet Capital,2024-12-29 20:04:41.779672+00
Johnson Controls,2024-12-29 20:04:48.929842+00
Geisel Software,2024-12-29 20:04:56.064003+00
Draper,2024-12-29 20:05:03.201353+00
Draper,2024-12-29 20:05:10.471048+00
Accenture,2024-12-29 20:05:17.630769+00
Infineon Technologies,2024-12-29 20:05:24.768437+00
Pacific Defense,2024-12-29 20:05:31.907999+00
BAE Systems,2024-12-29 20:05:39.059543+00
BAE Systems,2024-12-29 20:05:46.208349+00
Symbotic,2024-12-29 20:05:53.359858+00
Accenture,2024-12-29 20:06:02.31814+00
Johnson Controls,2024-12-29 20:06:09.461649+00
BLYK Engineering Services,2024-12-29 20:06:16.596756+00
Vecna Robotics,2024-12-29 20:06:23.736219+00
Axon,2024-12-29 20:06:30.893996+00
Capgemini,2024-12-29 20:06:38.046512+00
Servomex,2024-12-29 20:06:45.212547+00
Servomex,2024-12-29 20:06:52.353145+00
Sanofi,2024-12-29 20:06:59.519757+00
Generac Power Systems,2024-12-29 20:07:06.676197+00
The MITRE Corporation,2024-12-29 20:07:13.814507+00
EXAIL,2024-12-29 20:07:20.972317+00
Formlabs,2024-12-29 20:07:28.113716+00
Bloomfield Robotics,2024-12-29 20:09:42.677768+00
Hireio,2024-12-29 20:09:51.445094+00
Garni softwares Inc,2024-12-29 20:09:58.601494+00
Quintech Electronics & Communications Inc,2024-12-29 20:10:05.75771+00
Katalyst Healthcares & Life Sciences,2024-12-29 20:10:12.899109+00
Qualitest,2024-12-29 20:10:20.051008+00
Omnicell,2024-12-29 20:10:27.194085+00
Knowhirematch,2024-12-29 20:10:34.33402+00
Matthews International Corporation,2024-12-29 20:10:41.485084+00
Smith & Nephew,2024-12-29 20:10:48.615912+00
Bayer,2024-12-29 20:10:55.773097+00
Waites Sensor Technologies Inc,2024-12-29 20:11:02.915266+00
Smith & Nephew,2024-12-29 20:11:10.069799+00
Flex Employee Services,2024-12-29 20:11:17.641878+00
Metro Assoc.,2024-12-29 20:11:24.780775+00
Duquesne Light,2024-12-29 20:11:31.940593+00
WECTEC Staffing Svcs LLC,2024-12-29 20:11:39.351345+00
Westinghouse Electric Co,2024-12-29 20:11:46.502719+00
Penn State University,2024-12-29 20:11:53.656948+00
Waites Sensor Technologies Inc,2024-12-29 20:12:01.167327+00
PRICE WATERHOUSE COOPERS,2024-12-29 20:12:08.320446+00
Motional,2024-12-29 20:12:15.462742+00
Glydways,2024-12-29 20:12:23.406299+00
Galaxy Tek Hires,2024-12-29 20:12:30.578653+00
Bayer,2024-12-29 20:12:37.710481+00
ALSTOM,2024-12-29 20:12:45.671816+00
Accenture,2024-12-29 20:12:52.808327+00
Westinghouse Electric Co,2024-12-29 20:12:59.951067+00
Accenture,2024-12-29 20:13:07.782245+00
Emerson,2024-12-29 20:13:14.920066+00
ST ENGINEERING AETHON INC,2024-12-29 20:13:22.052806+00
KACE,2024-12-29 20:13:30.130088+00
RedZone Robotics,2024-12-29 20:13:37.273378+00
